Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-10-11,219.5278778076172,223.08262427444694,218.2617986342917,221.6801990277238,30474000
2022-10-12,219.85897827148438,221.91391771043942,218.11569545862955,219.51810569426297,21903900
2022-10-13,228.12742614746094,229.93888935580085,213.41172657654943,214.11293909981683,42551800
2022-10-14,222.5956573486328,231.04915792889818,222.38139712434594,229.39350803929838,30198600
2022-10-17,231.33157348632812,232.72426488237133,229.00394193544997,229.66620483401337,28142300
2022-10-18,232.2762908935547,237.56458673552382,229.2279641654272,236.89260491773592,26329600
2022-10-19,230.30899047851562,233.3573170929322,228.17613670425018,230.85437475930172,19985700
2022-10-20,229.9875946044922,235.01294654635635,228.74099774675008,229.61752091462319,21811000
2022-10-21,235.80181884765625,236.65885980316088,228.3806692339145,228.6144117292178,26299700
2022-10-24,240.79791259765625,241.37251274570207,235.00318319381745,237.39898019034277,24911200
2022-10-25,244.11892700195312,244.48900063928346,239.41496607006084,240.80764249442944,34775500
2022-10-26,225.28366088867188,232.08151209348918,224.05653135483254,225.1375662552775,82543200
2022-10-27,220.83287048339844,227.5917708595728,219.88818182214035,225.01091472477094,40424600
2022-10-28,229.7149200439453,230.42588124641725,220.15118265114296,220.3362269405368,40647700
2022-10-31,226.07249450683594,228.7896819818967,225.11805723606972,227.65994900462596,28357300
2022-11-01,222.21585083007812,229.58831711329057,221.3977743852499,228.47806626370723,30592300
2022-11-02,214.3564453125,225.26417573849062,214.29799854352845,223.47219453248943,38407000
2022-11-03,208.65908813476562,214.6583448304135,208.3961296970331,214.34668818412212,36633900
2022-11-04,215.61277770996094,215.80755569299043,207.86048915628433,211.8729869376078,36789100
2022-11-07,221.92369079589844,222.44960773063463,215.50566147666302,216.19714045067292,33498000
2022-11-08,222.89756774902344,225.6050216725194,219.94663764635982,222.73200573046222,28192500
2022-11-09,218.65133666992188,222.66383409917907,218.4760409587585,221.43670467861034,27852900
2022-11-10,236.63938903808594,236.9802616693803,228.8676327342918,229.2864046738626,46268000
2022-11-11,240.66162109375,241.51866209227285,235.61678638963826,236.64913798358995,34620200
2022-11-14,235.24668884277344,237.54510458377084,232.9677553572084,235.67520929864517,31123300
